order,statement_1,statement_2,statement_3,statement_4,statement_5,statement_6
"[""demographics"", ""voting"", ""misinformation""]","{""statement_id"": ""2643.json"", ""statement"": ""Scientists have shown us that the greater possibilities the real science movement has been with adult stem cell research It has not been with embryonic"", ""speaker"": ""Scott Walker"", ""year"": 2010, ""party"": ""REP"", ""label"": ""FALSE""}","{""statement_id"": ""2415.json"", ""statement"": ""Says the Austin chapter of the League of Women Voters has no Republicans among elected officers or on its debate committee"", ""speaker"": ""Steve Munisteri"", ""year"": 2010, ""party"": ""REP"", ""label"": ""half-true""}","{""statement_id"": ""6288.json"", ""statement"": ""Says Obamacare is the largest middleclass tax increase in history"", ""speaker"": ""Jeff Fitzgerald"", ""year"": 2012, ""party"": ""REP"", ""label"": ""pants-on-fire""}","{""statement_id"": ""6328.json"", ""statement"": ""Says Mitt Romney backed a bill that outlaws all abortions even in cases of rape and incest"", ""speaker"": ""Barack Obama"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""pants-on-fire""}","{""statement_id"": ""8839.json"", ""statement"": ""Over the past eight years the United States has reduced our total carbon pollution more than any other nation on Earth"", ""speaker"": ""Barack Obama"", ""year"": 2014, ""party"": ""DEM"", ""label"": ""half-true""}","{""statement_id"": ""8768.json"", ""statement"": ""Scott Walkers income tax plan is a tax hike It increases taxes for nearly 80 of the people in the state"", ""speaker"": ""Mary Burke"", ""year"": 2014, ""party"": ""DEM"", ""label"": ""pants-on-fire""}"
"[""demographics"", ""misinformation"", ""voting""]","{""statement_id"": ""10536.json"", ""statement"": ""22 times Barack Obama said he did not have the authority to implement this type of antideportation measure And then the day after he signed this into law he said quote I just changed the law"", ""speaker"": ""Greg Abbott"", ""year"": 2015, ""party"": ""REP"", ""label"": ""mostly-true""}","{""statement_id"": ""9753.json"", ""statement"": ""Wisconsin is 1 in the Midwest for personal income growth over the year"", ""speaker"": ""Scott Walker"", ""year"": 2014, ""party"": ""REP"", ""label"": ""TRUE""}","{""statement_id"": ""3849.json"", ""statement"": ""Says this months special session will cost the state 27300 a day just for legislators daily living expenses"", ""speaker"": ""Jason Isaac"", ""year"": 2011, ""party"": ""REP"", ""label"": ""TRUE""}","{""statement_id"": ""9280.json"", ""statement"": ""Residential property taxes in Providence are up nearly 27 percent under Mayor Taveras"", ""speaker"": ""Gina Raimondo"", ""year"": 2014, ""party"": ""DEM"", ""label"": ""pants-on-fire""}","{""statement_id"": ""2647.json"", ""statement"": ""Carly Fiorina shes against banning assault weapons"", ""speaker"": ""Barbara Boxer"", ""year"": 2010, ""party"": ""DEM"", ""label"": ""mostly-true""}","{""statement_id"": ""3214.json"", ""statement"": ""If you shut down Amtraks Northeast Corridor its estimated youd have to add seven new lanes to I95 to accommodate the increased traffic"", ""speaker"": ""Joe Biden"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""barely-true""}"
"[""demographics"", ""voting"", ""misinformation""]","{""statement_id"": ""8448.json"", ""statement"": ""Says Barbara Buono voted to raise her own pay 40 percent"", ""speaker"": ""Chris Christie"", ""year"": 2013, ""party"": ""REP"", ""label"": ""mostly-true""}","{""statement_id"": ""7533.json"", ""statement"": ""Of every three dollars in food stamps for the needy seven dollars in salaries and pensions go to the bureaucrats who are supposed to be taking care of the poor"", ""speaker"": ""Michele Bachmann"", ""year"": 2013, ""party"": ""REP"", ""label"": ""pants-on-fire""}","{""statement_id"": ""1796.json"", ""statement"": ""The city of Houston now has more debt per capita than California"", ""speaker"": ""Rick Perry"", ""year"": 2010, ""party"": ""REP"", ""label"": ""half-true""}","{""statement_id"": ""5599.json"", ""statement"": ""Says Lake Erie contains more native fish than all the other Great Lakes combined"", ""speaker"": ""Marcy Kaptur"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""mostly-true""}","{""statement_id"": ""5445.json"", ""statement"": ""Weve seen in this last year tremendous things happening including our unemployment rate come down 2 percentage points"", ""speaker"": ""Cory Booker"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""FALSE""}","{""statement_id"": ""159.json"", ""statement"": ""Heres a man who brags about how he made the city safe It was the Biden crime bill that became the Clinton crime bill that allowed him to do that"", ""speaker"": ""Joe Biden"", ""year"": 2007, ""party"": ""DEM"", ""label"": ""barely-true""}"
"[""demographics"", ""misinformation"", ""voting""]","{""statement_id"": ""4625.json"", ""statement"": ""If a President Romney got a call from the president of the Mormon church he has no choice but to obey It is obedience over family and country"", ""speaker"": ""Fred Karger"", ""year"": 2011, ""party"": ""REP"", ""label"": ""pants-on-fire""}","{""statement_id"": ""7008.json"", ""statement"": ""6400 Ohioans  lost manufacturing jobs in the month of September"", ""speaker"": ""Mitt Romney"", ""year"": 2012, ""party"": ""REP"", ""label"": ""mostly-true""}","{""statement_id"": ""9533.json"", ""statement"": ""US Senate candidate Jack Kingston requested more earmarks than any other GA Congressman and all GA GOP members combined"", ""speaker"": ""David Perdue"", ""year"": 2014, ""party"": ""REP"", ""label"": ""mostly-true""}","{""statement_id"": ""5337.json"", ""statement"": ""Statistics bear out that any time a country a state makes more restrictive abortion laws  fatalities go up and abortions actually increase"", ""speaker"": ""Nickie Antonio"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""barely-true""}","{""statement_id"": ""2077.json"", ""statement"": ""The first professional baseball team was from an Ohio city"", ""speaker"": ""Yvette Mcgee Brown"", ""year"": 2010, ""party"": ""DEM"", ""label"": ""TRUE""}","{""statement_id"": ""999.json"", ""statement"": ""Washing your hands and covering your mouth when you cough makes a huge difference in reducing transmission of the flu"", ""speaker"": ""Barack Obama"", ""year"": 2009, ""party"": ""DEM"", ""label"": ""TRUE""}"
"[""demographics"", ""voting"", ""misinformation""]","{""statement_id"": ""1357.json"", ""statement"": ""To use money from the TARP fund in the manner that is being discussed by the White House and congressional Democrats would be a violation of the law"", ""speaker"": ""Mike Pence"", ""year"": 2009, ""party"": ""REP"", ""label"": ""half-true""}","{""statement_id"": ""3352.json"", ""statement"": ""Says neither President Barack Obama nor Mexico President Felipe Calderon have been on the border to see whats happening to the citizens of Mexico and for that matter the citizens of Texas"", ""speaker"": ""Rick Perry"", ""year"": 2011, ""party"": ""REP"", ""label"": ""half-true""}","{""statement_id"": ""11080.json"", ""statement"": ""Texas high school graduation rate went from 27th in the country in 2002 to second highest in the country in 2013"", ""speaker"": ""Rick Perry"", ""year"": 2015, ""party"": ""REP"", ""label"": ""barely-true""}","{""statement_id"": ""2087.json"", ""statement"": ""The War in Afghanistan is officially the longest war Americans have ever been asked to endure"", ""speaker"": ""Dennis Kucinich"", ""year"": 2010, ""party"": ""DEM"", ""label"": ""TRUE""}","{""statement_id"": ""1112.json"", ""statement"": ""As many as 22000 Americans die each year because they dont have health insurance"", ""speaker"": ""Bill Pascrell"", ""year"": 2009, ""party"": ""DEM"", ""label"": ""half-true""}","{""statement_id"": ""11120.json"", ""statement"": ""Since 2009 weve cut homelessness among veterans by a third"", ""speaker"": ""Barack Obama"", ""year"": 2015, ""party"": ""DEM"", ""label"": ""mostly-true""}"
"[""demographics"", ""misinformation"", ""voting""]","{""statement_id"": ""9014.json"", ""statement"": ""We have invested record funding in protecting our environment"", ""speaker"": ""Rick Scott"", ""year"": 2014, ""party"": ""REP"", ""label"": ""FALSE""}","{""statement_id"": ""8639.json"", ""statement"": ""I have cut taxes 63 times including a 2006 property tax reduction that ranks as the largest in state history"", ""speaker"": ""David Dewhurst"", ""year"": 2013, ""party"": ""REP"", ""label"": ""barely-true""}","{""statement_id"": ""9563.json"", ""statement"": ""We in this state saw more job creation in the last three years since Ive been governor than you saw in the whole eight years of Doyles time as governor"", ""speaker"": ""Scott Walker"", ""year"": 2014, ""party"": ""REP"", ""label"": ""mostly-true""}","{""statement_id"": ""4299.json"", ""statement"": ""Says a Senate resolution would restore 140 in monthly general assistance payments and prevent people from committing crime"", ""speaker"": ""Sandra Cunningham"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""pants-on-fire""}","{""statement_id"": ""3136.json"", ""statement"": ""Secure Communities has a proven track record of enhancing public safety by focusing on violent offenders and those that pose a threat to our communities and our national security"", ""speaker"": ""Peter Kilmartin"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""half-true""}","{""statement_id"": ""3110.json"", ""statement"": ""Republican small business tax cut bill spends 80 million for better Google searches not job creation"", ""speaker"": ""Cory Mason"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""barely-true""}"
"[""demographics"", ""voting"", ""misinformation""]","{""statement_id"": ""6807.json"", ""statement"": ""Since the time of the Civil War weve made a distinction in this country between the availability and the ability to access for people who were in the military versus the rest of us to vote"", ""speaker"": ""Mike Dewine"", ""year"": 2012, ""party"": ""REP"", ""label"": ""half-true""}","{""statement_id"": ""1578.json"", ""statement"": ""The Obama administration spent more money on the Cash for Clunkers program than the space program"", ""speaker"": ""Marco Rubio"", ""year"": 2010, ""party"": ""REP"", ""label"": ""barely-true""}","{""statement_id"": ""5906.json"", ""statement"": ""The expiration of the Bushera tax cuts  would be the biggest tax increase in the history of the country about 46 trillion over 10 years"", ""speaker"": ""Charles Bass"", ""year"": 2012, ""party"": ""REP"", ""label"": ""barely-true""}","{""statement_id"": ""8680.json"", ""statement"": ""Greg Abbott defended more than 5 billion in public school funding cuts in fighting hundreds of school districts in court"", ""speaker"": ""Wendy Davis"", ""year"": 2013, ""party"": ""DEM"", ""label"": ""half-true""}","{""statement_id"": ""811.json"", ""statement"": ""Senator McCain would pay for part of his health care plan by making drastic cuts in Medicare 882billion worth"", ""speaker"": ""Barack Obama"", ""year"": 2008, ""party"": ""DEM"", ""label"": ""FALSE""}","{""statement_id"": ""2120.json"", ""statement"": ""Says his office has already recovered over 2 billion from Wall Street for the workers retirees and investors who were harmed"", ""speaker"": ""Richard Cordray"", ""year"": 2010, ""party"": ""DEM"", ""label"": ""half-true""}"
"[""demographics"", ""misinformation"", ""voting""]","{""statement_id"": ""246.json"", ""statement"": ""Huckabee granted 1033 pardons and commutations    more clemencies than the previous three governors combined"", ""speaker"": ""Mitt Romney"", ""year"": 2007, ""party"": ""REP"", ""label"": ""TRUE""}","{""statement_id"": ""7997.json"", ""statement"": ""More Americans receive food aid than work in the private sector"", ""speaker"": ""Allen West"", ""year"": 2013, ""party"": ""REP"", ""label"": ""FALSE""}","{""statement_id"": ""5889.json"", ""statement"": ""Says Democratic recall opponent Tom Barrett is campaigning on lifting property tax limits"", ""speaker"": ""Scott Walker"", ""year"": 2012, ""party"": ""REP"", ""label"": ""barely-true""}","{""statement_id"": ""3829.json"", ""statement"": ""Under Gov Bob McDonnell more jobs have been lost than created in Southside and Southwest Virginia"", ""speaker"": ""Ward Armstrong"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""FALSE""}","{""statement_id"": ""5641.json"", ""statement"": ""Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions"", ""speaker"": ""Graeme Zielinski"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""pants-on-fire""}","{""statement_id"": ""809.json"", ""statement"": ""98 percent of small businesses make less than 250000 and would not see a tax increase under Barack Obamas plan"", ""speaker"": ""Barack Obama"", ""year"": 2008, ""party"": ""DEM"", ""label"": ""TRUE""}"
"[""demographics"", ""voting"", ""misinformation""]","{""statement_id"": ""4905.json"", ""statement"": ""Says the congressional ethics investigation against him was conducted by a very partisan political committee in a way that related more to the politics of the Democratic Party than to ethics"", ""speaker"": ""Newt Gingrich"", ""year"": 2011, ""party"": ""REP"", ""label"": ""pants-on-fire""}","{""statement_id"": ""4759.json"", ""statement"": ""Ilana Shafran Mandels stake in Forest City Enterprises constitutes significantly less than 1 percent of the companys shares and any implication of a conflict of interest is legally incorrect"", ""speaker"": ""Josh Mandel"", ""year"": 2011, ""party"": ""REP"", ""label"": ""TRUE""}","{""statement_id"": ""3886.json"", ""statement"": ""Out of 150000 tenured teachers in the last 10 years only 17 have been dismissed for incompetence"", ""speaker"": ""Chris Christie"", ""year"": 2011, ""party"": ""REP"", ""label"": ""mostly-true""}","{""statement_id"": ""8564.json"", ""statement"": ""The state budget has actually grown by 46 billion under Gov Scott Walkers actions"", ""speaker"": ""Mary Burke"", ""year"": 2013, ""party"": ""DEM"", ""label"": ""half-true""}","{""statement_id"": ""8623.json"", ""statement"": ""The minimum wage in real terms right now is below where it was when Harry Truman was in office"", ""speaker"": ""Barack Obama"", ""year"": 2013, ""party"": ""DEM"", ""label"": ""half-true""}","{""statement_id"": ""5864.json"", ""statement"": ""We will not ask for a tax increase to run city government"", ""speaker"": ""C Wharton"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""mostly-true""}"
"[""demographics"", ""misinformation"", ""voting""]","{""statement_id"": ""4743.json"", ""statement"": ""Corrupt political bosses Money laundering Fraud Its just another day at the office for Vin Gopal"", ""speaker"": ""New Jersey Republican State Committee"", ""year"": 2011, ""party"": ""REP"", ""label"": ""pants-on-fire""}","{""statement_id"": ""3003.json"", ""statement"": ""In the last five years 28000 people have been killed along the USMexico border"", ""speaker"": ""Lamar Smith"", ""year"": 2010, ""party"": ""REP"", ""label"": ""FALSE""}","{""statement_id"": ""6121.json"", ""statement"": ""Assembly Democrats wanted to raise the gas tax by 24 billion We said no to thatTheyre down on the ground Theyre sweating Theyre twitching Its ugly cause I keep saying no"", ""speaker"": ""Chris Christie"", ""year"": 2012, ""party"": ""REP"", ""label"": ""barely-true""}","{""statement_id"": ""3113.json"", ""statement"": ""Two years after the worst recession most of us have ever known  corporate profits are up"", ""speaker"": ""Barack Obama"", ""year"": 2011, ""party"": ""DEM"", ""label"": ""TRUE""}","{""statement_id"": ""6324.json"", ""statement"": ""When Josh Mandel claims to have accepted three debates with Sen Sherrod Brown he is lying He has accepted ZERO proposed debates"", ""speaker"": ""Sherrod Brown"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""pants-on-fire""}","{""statement_id"": ""6706.json"", ""statement"": ""In Cuyahoga County  56 percent of weekend voters in 2008 were African American while adult African Americans comprise 28 percent of the county population"", ""speaker"": ""Marcia Fudge"", ""year"": 2012, ""party"": ""DEM"", ""label"": ""TRUE""}"
